CPFA BASELINE RUN (7x7)
Params file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_params.yaml
Results file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_baseline_7x7_results_20260811_135828.txt
RateOfLayingPheromone=9.0
RateOfSiteFidelity=2.29
RateOfPheromoneDecay=0.1
ProbabilityOfReturningToNest=0.08
ProbabilityOfSwitchingToSearching=0.55
UninformedSearchVariationRad=0.13
UninformedSearchVariationDeg=7.448451336700702
RateOfInformedSearchDecay=1.26

======================================================================
R12[RTB       ]: carry=1 | base=1.71 | wall=2.24 | search=  0 | target=none
R13[SITE      ]: carry=0 | base=0.98 | wall=2.53 | search=  0 | target=site(-0.19,2.29)
R14[BASE_ESC  ]: carry=0 | base=0.24 | wall=3.28 | search=  0 | target=phero(2.92,2.80)
R15[SEARCH    ]: carry=0 | base=1.23 | wall=2.30 | search=224 | target=site(-0.42,1.26)
R16[RTB       ]: carry=1 | base=0.28 | wall=3.22 | search=  0 | target=none

======================================================================
Step 7500 (4.0 min) | Pickups: 54 | Deposits: 49 | Rate: 12.25 tags/min | phero_entries=6 max_w=0.681
======================================================================
R1[PHERO     ]: carry=0 | base=1.19 | wall=2.31 | search=  0 | target=phero(-0.19,2.29)
R2[RTB       ]: carry=1 | base=2.20 | wall=1.87 | search=  0 | target=none
R3[BASE_ESC  ]: carry=0 | base=0.19 | wall=3.33 | search=  0 | target=phero(-0.19,2.35)
R4[SITE      ]: carry=0 | base=0.89 | wall=2.62 | search=  0 | target=site(-0.19,2.35)
R5[GIVE_UP   ]: carry=0 | base=1.49 | wall=2.02 | search=156 | target=none
